Miner ID,Total IMC,Computing Power,Blocks Mined
Miner531,2.09,228,0
Miner532,4.40,481,0
Miner533,4.34,474,0
Miner534,1.27,139,0
Miner535,1.83,200,0
Miner536,4.16,455,0
Miner537,1.12,123,0
Miner538,3.16,346,0
Miner539,3.56,389,0
Miner540,1.25,137,0
Miner541,3.90,426,0
Miner542,1.89,207,0
Miner543,3.44,376,0
Miner544,4.23,462,0
Miner545,2.90,317,0
Miner546,1.61,176,0
Miner547,1.55,170,0
Miner548,1.93,211,0
Miner549,3.34,365,0
Miner550,3.61,395,0
Miner551,4.08,446,0
Miner552,2.87,314,0
Miner553,2.99,327,0
Miner554,3.22,352,0
Miner555,1.17,128,0
Miner556,3.75,410,0
Miner557,1.93,211,0
Miner558,4.41,482,0
Miner559,2.36,258,0
Miner560,16.26,466,0
Miner561,2.65,290,0
Miner562,1.12,122,0
Miner563,1.63,178,0
Miner564,2.47,270,0
Miner565,1.65,180,0
Miner566,3.36,367,0
Miner567,2.23,244,0
Miner568,16.23,462,0
Miner569,4.30,470,0
Miner570,3.25,355,0
Miner571,15.41,373,0
Miner572,0.98,107,0
Miner573,3.33,364,0
Miner574,15.48,380,0
Miner575,2.13,233,0
Miner576,1.82,199,0
Miner577,1.41,154,0
Miner578,15.33,364,0
Miner579,2.31,253,0
Miner580,1.07,117,0
Miner581,2.03,222,0
Miner582,2.75,301,0
Miner583,1.15,126,0
Miner584,3.75,410,0
Miner585,3.70,404,0
Miner586,3.29,360,0
Miner587,4.14,453,0
Miner588,4.04,442,0
Miner589,14.41,264,0
Miner590,4.45,487,0
Miner591,1.23,135,0
Miner592,3.37,368,0
Miner593,2.63,288,0
Miner594,2.32,254,0
Miner595,1.19,130,0
Miner596,3.89,425,0
Miner597,2.64,289,0
Miner598,1.84,201,0
Miner599,3.44,376,0
Miner600,1.13,124,0
Miner601,1.01,110,0
Miner602,16.45,487,0
Miner603,1.03,113,0
Miner604,3.54,387,0
Miner605,2.14,234,0
Miner606,3.59,393,0
Miner607,2.22,243,0
Miner608,3.48,381,0
Miner609,1.03,113,0
Miner610,1.76,192,0
Miner611,1.48,162,0
Miner612,4.50,492,0
Miner613,3.95,432,0
Miner614,1.16,127,0
Miner615,3.12,341,0
Miner616,14.75,301,0
Miner617,1.01,110,0
Miner618,3.93,430,0
Miner619,2.43,266,0
Miner620,2.63,288,0
Miner621,4.34,475,0
Miner622,3.66,400,0
Miner623,4.02,439,0
Miner624,2.26,247,0
Miner625,4.45,486,0
Miner626,3.21,351,0
Miner627,4.33,473,0
Miner628,4.41,482,0
Miner629,1.29,141,0
Miner630,16.10,448,0
Miner631,0.95,104,0
Miner632,3.08,337,0
Miner633,0.97,106,0
Miner634,3.36,367,0
Miner635,1.36,149,0
Miner636,2.41,263,0
Miner637,3.30,361,0
Miner638,3.50,383,0
Miner639,2.38,260,0
Miner640,4.15,454,0
Miner641,4.19,458,0
Miner642,3.40,372,0
Miner643,2.86,313,0
Miner644,3.48,380,0
Miner645,2.81,307,0
Miner646,1.70,186,0
Miner647,3.82,418,0
Miner648,2.43,266,0
Miner649,1.59,174,0
Miner650,3.77,412,0
Miner651,4.37,478,0
Miner652,3.25,355,0
Miner653,1.51,165,0
Miner654,3.16,345,0
